iter	Passed	Remaining
0	0	811
1	1	809
2	2	745
3	2	719
4	3	697
5	4	680
6	4	668
7	5	656
8	5	648
9	6	648
10	7	646
11	7	638
12	8	635
13	8	632
14	9	628
15	10	624
16	10	621
17	11	617
18	11	613
19	12	612
20	13	610
21	13	608
22	14	606
23	14	607
24	15	606
25	16	607
26	16	606
27	17	606
28	18	605
29	18	604
30	19	601
31	19	600
32	20	599
33	21	599
34	21	598
35	22	597
36	22	597
37	23	596
38	24	595
39	24	594
40	25	592
41	25	590
42	26	588
43	27	586
44	27	586
45	28	584
46	28	582
47	29	581
48	29	580
49	30	581
50	31	583
51	31	583
52	32	582
53	33	582
54	33	580
55	34	580
56	34	578
57	35	578
58	36	576
59	36	575
60	37	575
61	37	573
62	38	572
63	39	571
64	39	570
65	40	569
66	40	569
67	41	568
68	42	567
69	42	566
70	43	565
71	43	564
72	44	563
73	45	563
74	45	563
75	46	565
76	47	564
77	47	564
78	48	563
79	48	563
80	49	561
81	50	560
82	50	556
83	50	556
84	51	555
85	52	554
86	52	553
87	53	553
88	53	552
89	54	551
90	55	550
91	55	549
92	56	548
93	56	547
94	57	546
95	57	545
96	58	545
97	59	544
98	59	543
99	60	543
100	61	543
101	61	543
102	62	542
103	62	542
104	63	541
105	64	541
106	64	540
107	65	540
108	65	539
109	66	538
110	67	537
111	67	535
112	68	534
113	68	533
114	69	531
115	69	530
116	70	528
117	70	527
118	71	526
119	71	524
120	72	523
121	72	521
122	72	520
123	73	519
124	73	517
125	74	516
126	75	515
127	75	515
128	76	515
129	76	514
130	77	513
131	78	513
132	78	512
133	79	511
134	79	511
135	80	510
136	80	509
137	81	508
138	81	507
139	82	506
140	82	505
141	83	503
142	83	502
143	84	501
144	84	500
145	85	499
146	85	498
147	86	497
148	86	496
149	87	496
150	88	495
151	88	494
152	89	493
153	89	492
154	90	491
155	90	491
156	91	491
157	92	491
158	92	491
159	93	491
160	93	489
161	94	489
162	95	488
163	95	487
164	96	486
165	96	485
166	97	485
167	97	484
168	98	483
169	98	482
170	99	481
171	99	480
172	100	480
173	100	479
174	101	478
175	102	477
176	102	476
177	103	475
178	103	475
179	104	474
180	104	473
181	105	473
182	106	473
183	106	472
184	107	472
185	107	471
186	108	470
187	108	469
188	109	468
189	109	467
190	110	467
191	110	466
192	111	465
193	111	464
194	112	464
195	112	463
196	113	462
197	114	461
198	114	461
199	115	460
200	115	459
201	116	459
202	116	458
203	117	457
204	117	456
205	118	455
206	118	455
207	119	454
208	120	457
209	121	457
210	122	456
211	122	455
212	123	454
213	123	454
214	124	453
215	124	452
216	125	451
217	125	450
218	126	449
219	126	449
220	127	448
221	127	447
222	128	446
223	128	445
224	129	445
225	129	444
226	130	443
227	130	442
228	131	441
229	131	441
230	132	440
231	132	439
232	133	438
233	133	438
234	134	438
235	135	438
236	136	439
237	136	438
238	137	437
239	138	437
240	138	436
241	139	436
242	139	435
243	140	434
244	140	433
245	141	433
246	141	432
247	142	431
248	142	430
249	143	429
250	143	429
251	144	428
252	144	427
253	145	426
254	145	426
255	146	425
256	146	424
257	147	423
258	147	423
259	148	422
260	149	422
261	149	421
262	150	421
263	151	421
264	151	421
265	152	420
266	153	420
267	153	419
268	154	418
269	154	418
270	155	417
271	155	416
272	156	415
273	156	415
274	157	414
275	157	413
276	158	412
277	158	412
278	159	411
279	159	410
280	160	410
281	160	409
282	161	408
283	161	407
284	162	407
285	163	406
286	163	406
287	164	405
288	164	405
289	165	404
290	165	404
291	166	403
292	167	402
293	167	402
294	168	401
295	168	401
296	169	400
297	170	400
298	170	399
299	171	399
300	171	398
301	172	397
302	172	397
303	173	396
304	173	395
305	174	395
306	174	394
307	175	393
308	175	393
309	176	392
310	176	392
311	177	391
312	178	390
313	178	390
314	179	389
315	179	388
316	180	388
317	180	387
318	181	387
319	182	386
320	182	386
321	183	385
322	183	384
323	184	384
324	184	383
325	185	382
326	185	382
327	186	381
328	186	380
329	187	380
330	187	379
331	188	378
332	188	378
333	189	377
334	189	376
335	190	376
336	191	375
337	191	375
338	192	374
339	192	374
340	193	374
341	194	374
342	195	373
343	195	373
344	196	372
345	196	372
346	197	371
347	197	370
348	198	369
349	198	369
350	199	368
351	199	367
352	200	367
353	200	366
354	201	365
355	201	365
356	202	364
357	202	363
358	203	363
359	203	362
360	204	361
361	205	361
362	205	360
363	206	359
364	206	359
365	207	358
366	207	358
367	208	357
368	208	357
369	209	356
370	210	356
371	210	355
372	211	355
373	211	354
374	212	353
375	212	353
376	213	352
377	213	351
378	214	351
379	214	350
380	215	349
381	215	349
382	216	348
383	216	348
384	217	347
385	218	346
386	218	346
387	219	345
388	219	344
389	220	344
390	220	343
391	221	343
392	221	342
393	222	341
394	222	341
395	223	340
396	224	340
397	224	339
398	225	339
399	225	338
400	226	338
401	226	337
402	227	336
403	227	336
404	228	335
405	228	334
406	229	334
407	229	333
408	230	332
409	230	332
410	231	331
411	232	331
412	232	330
413	233	329
414	233	329
415	234	328
416	234	327
417	235	327
418	235	326
419	236	326
420	236	325
421	237	324
422	237	324
423	238	323
424	238	323
425	239	322
426	240	322
427	240	321
428	241	321
429	241	320
430	242	319
431	242	319
432	243	318
433	243	317
434	244	317
435	244	316
436	245	316
437	245	315
438	246	314
439	246	314
440	247	313
441	247	312
442	248	312
443	248	311
444	249	311
